"","country_name","location_name","lat","lng"
"1","Rwanda","Gihembe Camp",-1.5969325,30.0766337
"2","Rwanda","Kiziba Camp",-2.1322104,29.3557554
"3","Rwanda","Mahama camp",-2.3118635,30.842508
"4","Rwanda","Nyabiheke camp",-1.5952358,30.2597407
"5","Somalia","ARC Kismayo",-0.3560455,42.5460573
"6","Somalia","Dhobley",0.4135438,41.0032199
"7","Somalia","Laas Caanood",8.4748317,47.36288045
"8","Sudan","Kalma Camp",12.0755817,24.8854515
"9","Uganda","Bidi Bidi Zone 5",3.4766344,31.3890533
"10","Uganda","Kyaka II",0.46542165,31.05250465
"11","Uganda","Kyangwali Settlement",1.2210399,30.8183077
"12","Uganda","Nakivale Base Camp",3.4698023,31.2461351
"13","Uganda","Nakivale Community Library & Learning Center",47.716307,-116.9485517
"14","Uganda","Nakivale Juru",-0.8210238,30.9276019
"15","Uganda","Nakivale Rubondo",-0.7017325,31.059975
"16","Uganda","Oruchinga",-0.9265636,30.755086
"17","Uganda","Palabek",3.4360759,32.5839333
