"country_name","location_name","service_point_name","lat","lng"
"Rwanda","Gihembe Camp","Dentistry/Mental health Gihembe",-1.5800416,30.0676606
"Rwanda","Gihembe Camp","Door to Door Gihembe Camp _ Health Care",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Gihembe Camp: Protection Pulse",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Gihembe Camp: WASH Pulse",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","HIV/ANC Gihembe health center",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Immunization Gihembe health center",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","IPD Gihembe health center",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Maternity/FP/PNC Health center",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Minor surgery Gihembe health center",-1.5952358,30.2597407
"Rwanda","Gihembe Camp","Nutrition Gihembe healthcare",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","OPD Gihembe Health center",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 1 - Water Point 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 10 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 10 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 10- Water Point  1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 11 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 11 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 11 - Water Point 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 12 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 12 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 12- Water Point  1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 2 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 2 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 3 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 3 - Water Point 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 4 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 5 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 5 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 5 - Water Kiosk 3",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 5 - Water Kiosk 4",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 5 - Water Point 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 6 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 6 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 7 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 7 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 7 - Water Point 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 8 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 8 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 9 - Water Kiosk 1",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 9 - Water Kiosk 2",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 9 - Water Kiosk 3",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Quarter 9 - Water Kiosk 4",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Self-swipe Immunization Gihembe",-1.5969325,30.0766337
"Rwanda","Gihembe Camp","Self-swipe OPD Gihembe",-1.5969325,30.0766337
"Rwanda","Kiziba Camp","Kiziba Camp: Protection Pulse",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Kiziba Camp: WASH Pulse",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Mwangaza",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q1 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q1 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q1 Water point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 Water Point 5",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q10 Water Point 6",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 5",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q2 Water Point 6",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q3 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q3 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q3 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q3 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q4 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q5 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q5 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q5 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q5 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 5",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q6 Water Point 6",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q7 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q7 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q7 Water Point 3",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q7 Water Point 4",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q7 Water Point 5",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q8 Water Point 1",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q8 Water Point 2",-2.1322104,29.3557554
"Rwanda","Kiziba Camp","Q8 Water Point 3",-2.1322104,29.3557554
