"city","location","country_name","state","service_point_name","lat","lng"
"Arauca","Arauca","Colombia","Arauca","Phone Calls",7.0905241,-70.7754016
"Arauca","Arauca","Colombia","Arauca","On-site",7.0905241,-70.7754016
"Arauca","Arauca","Colombia","Arauca","Punto de Atención",7.0905241,-70.7754016
"Arauca","Arauca","Colombia","Arauca","Arauca",7.0905241,-70.7754016
"Barranquilla","Barranquilla","Colombia","Atlántico","Barranquilla",11.0041072,-74.8069813
"Bogotá D.C.","Arquidiocesis","Colombia","Cundinamarca","On-site",4.6404912,-74.0889799
"Bogotá D.C.","Bogotá D.C.","Colombia","Cundinamarca","Bogotá D.C.",4.7109886,-74.072092
"Bogotá D.C.","Bogotá D.C.","Colombia","Cundinamarca","On-site",4.7109886,-74.072092
"Bogotá D.C.","Bosa","Colombia","Cundinamarca","Sala de Espera",4.6086644,-74.1813364
"Bogotá D.C.","Bosa","Colombia","Cundinamarca","Punto de Atención",4.6086644,-74.1813364
"Bogotá D.C.","Bosa","Colombia","Cundinamarca","Farmacia",4.6086644,-74.1813364
"Bogotá D.C.","Bosa","Colombia","Cundinamarca","Salud Mental",4.6086644,-74.1813364
"Bogotá D.C.","Bosa","Colombia","Cundinamarca","Laboratorio",4.6086644,-74.1813364
"Bogotá D.C.","Camelias","Colombia","Cundinamarca","Punto de Atención",4.6143875,-74.1184904
"Bogotá D.C.","Camelias","Colombia","Cundinamarca","Laboratorio",4.6143875,-74.1184904
"Bogotá D.C.","Camelias","Colombia","Cundinamarca","Farmacia",4.6143875,-74.1184904
"Bogotá D.C.","Camelias","Colombia","Cundinamarca","Sala de Espera",4.6143875,-74.1184904
"Bogotá D.C.","Centro Abrazar","Colombia","Cundinamarca","On-site",4.62175025,-74.07157895
"Bogotá D.C.","Centro Integral De atención al Migrante","Colombia","Cundinamarca","On-site",4.6246556,-74.0776408
"Bogotá D.C.","Ciudad Bolivar","Colombia","Cundinamarca","Punto de Atención",4.579524,-74.1574289
"Bogotá D.C.","CP Bogota Phone Calls","Colombia","Cundinamarca","Phone Calls",4.7109886,-74.072092
"Bogotá D.C.","CP Kennedy","Colombia","Cundinamarca","On-site",4.62193045,-74.15182065
"Bogotá D.C.","IOM Health Service Day: Hospital Centro Oriente CAMI Samper Mendoza","Colombia","Cundinamarca","On-site",4.6169033,-74.081163
"Bogotá D.C.","Lourdes de Santa Fe","Colombia","Cundinamarca","Punto de Atención",4.5884334,-74.0729716
"Bogotá D.C.","Portal de Suba","Colombia","Cundinamarca","On-site",4.7475166,-74.0947723
"Bogotá D.C.","Suba La Gaitana","Colombia","Cundinamarca","On-site",4.7404586,-74.1071117
"Bogotá D.C.","Suba Rincón","Colombia","Cundinamarca","On-site",4.7249708,-74.0902543
