"state","city","neighbourhood","lat","lng"
"Arauca","Arauca","1 DE ENERO",7.07347495,-70.75734745
"Cundinamarca","Bogotá D.C.","1 DE MAYO",4.6041377,-74.1238941
"Valle del Cauca","Cali","1 DE MAYO",3.4061828,-76.5336495
"La Guajira","Maicao","1 DE MAYO",11.3784139,-72.2405982
"Atlántico","Otros","1 DE MAYO",4.64693325,-74.1203506
"Magdalena","Santa Marta","1 DE MAYO",11.22315915,-74.20150495
"Norte de Santander","Villa del Rosario","1 DE MAYO",7.8313713,-72.47142575
"Atlántico","Barranquilla","1 MAYO",10.9419008,-74.7644289
"Valle del Cauca","Cali","1 MAYO",3.4061828,-76.5336495
"Norte de Santander","Cúcuta","1 MAYO",7.9023231,-72.4717285
"Magdalena","Santa Marta","1 MAYO",11.22315915,-74.20150495
"Atlántico","Barranquilla","11 DE NOVIEMBRE",10.9971739,-74.7975776
"Bolivar","Cartagena","11 DE NOVIEMBRE",10.4128333,-75.4941839
"Magdalena","Santa Marta","11 DE NOVIEMBRE",11.22524205,-74.1539175
"Atlántico","Barranquilla","11 NOVIEMBRE",10.9971739,-74.7975776
"Magdalena","Santa Marta","11 NOVIEMBRE",11.2255833,-74.15365115
"Arauca","Arauca","12 DE OCTUBRE",7.078487,-70.7562041
"Santander","Bucaramanga","12 DE OCTUBRE",7.11622445,-73.11310895
"Valle del Cauca","Cali","12 DE OCTUBRE",3.4282083,-76.5051038
"Norte de Santander","Cúcuta","12 DE OCTUBRE",7.86317795,-72.5013613
"Nariño","Nariño","12 DE OCTUBRE",1.1950675,-77.2695775
"Arauca","Arauca","12OCTUBRE",7.0753549,-70.7723678
"Bolivar","Cartagena","13 DE JUNIO",10.4035761,-75.4861752
"Antioquia","Medellín","13 DE NOVIEMBRE",6.2445082,-75.5429546
"La Guajira","Riohacha","15 DE MAYO",11.5402304,-72.9139337
"Norte de Santander","Cúcuta","16 DE JULIO",7.88960025,-72.5036149
"Magdalena","Santa Marta","17 DE DICIEMBRE",11.2463435,-74.1806927
"Magdalena","Santa Marta","17 DICIEMBRE",11.2463435,-74.1806927
"Magdalena","Santa Marta","18 DE ENERO",11.24099395,-74.20834405
"Bolivar","Cartagena","2 DE OCTUBRE",10.4033683,-75.4968799
"Bolivar","Cartagena","20 DE ENERO",10.3940567,-75.47371915
"Arauca","Arauca","20 DE JULIO",7.08475555,-70.7577711
"Atlántico","Barranquilla","20 DE JULIO",10.9307896,-74.8295118
"Cundinamarca","Bogotá D.C.","20 DE JULIO",4.56946535,-74.09555525
"Valle del Cauca","Cali","20 DE JULIO",3.4350845,-76.5130539
"Bolivar","Cartagena","20 DE JULIO",10.4365079,-75.5182073
"Norte de Santander","Cúcuta","20 DE JULIO",7.883933,-72.49962195
"La Guajira","Maicao","20 DE JULIO",11.36863,-72.23193095
"Antioquia","Medellín","20 DE JULIO",6.2518578,-75.6215362
"Nariño","Nariño","20 DE JULIO",1.2076077,-77.32292435
"Magdalena","Santa Marta","20 DE JULIO",11.2519289,-74.1981218
"Norte de Santander","Villa del Rosario","20 DE JULIO",7.8442949,-72.4728788
"Magdalena","Santa Marta","20 DE OCTUBRE",11.2297744,-74.1433495
"Arauca","Arauca","20 DEJULIO",7.08444195,-70.7577341
"Valle del Cauca","Cali","20 JULIO",3.4350845,-76.5130539
"Norte de Santander","Cúcuta","20 JULIO",7.9086647,-72.5277848
"Nariño","Nariño","20 JULIO",1.2098439,-77.2773051
"Norte de Santander","Villa del Rosario","20 JULIO",7.8438511,-72.47235825
"Cundinamarca","Bogotá D.C.","20DEJULIO",4.5696565,-74.0939566
"Norte de Santander","Villa del Rosario","20DEJULIO",7.83492005,-72.4706709
"La Guajira","Maicao","23 CON PRIMERA",11.3773569,-72.2490874
"Arauca","Arauca","25 DE NOVIEMBRE",4.6473263,-74.0957874
"Norte de Santander","Cúcuta","28 DE FEBRERO",7.8901484,-72.5199478
"Nariño","Nariño","3 CRUCES",0.883606,-77.4974604
"Cundinamarca","Bogotá D.C.","3 ESQUINAS",4.66833,-73.92357
"Cundinamarca","Soacha","3 ESQUINAS",4.57476415,-74.21974655
"Cundinamarca","Bogotá D.C.","3 REYES",4.5877822,-74.1816112
"Nariño","Nariño","4 ESQUINAS",1.11176,-77.43904
"La Guajira","Maicao","4 VÍAS",11.3800543,-72.2737584
"La Guajira","Riohacha","4 VÍAS",11.5378159,-72.9167754
"Bolivar","Cartagena","4 VIENTOS",10.40653585,-75.50197315
"Norte de Santander","Cúcuta","5 DE JULIO",7.8894961,-72.50333335
"Antioquia","Medellín","5 ESTRELLAS",6.20802075,-75.5720856
"Cundinamarca","Soacha","56 SUR",4.61931885,-74.18073225
"Norte de Santander","Cúcuta","6 DE REYES",7.891119,-72.5009274
"Atlántico","Barranquilla","7 ABRIL",10.92757445,-74.8142962
"La Guajira","Riohacha","7 AGOSTO",11.53557095,-72.90203215
"Magdalena","Santa Marta","7 AGOSTO",11.2383553,-74.1994079
"Atlántico","Barranquilla","7 DE ABRIL 3",10.92863115,-74.81623635
"Atlántico","Barranquilla","7 DE ABRIL 7",10.9281039,-74.8170822
"Atlántico","Barranquilla","7 DE ABRIL",10.9281039,-74.8170822
"Magdalena","Santa Marta","7 DE ABRIL",11.2414784,-74.21136675
"Atlántico","Barranquilla","7 DE ABRIRL",10.92822765,-74.81434335
"Arauca","Arauca","7 DE AGOSTO",7.0871407,-70.7611682
"Atlántico","Barranquilla","7 DE AGOSTO",10.9610539,-74.8309741
"Cundinamarca","Bogotá D.C.","7 DE AGOSTO",4.65790705,-74.0715602
"Valle del Cauca","Cali","7 DE AGOSTO",3.44780895,-76.48685875
"Bolivar","Cartagena","7 DE AGOSTO",10.4391102,-75.5152955
"Norte de Santander","Cúcuta","7 DE AGOSTO",7.8996468,-72.5257321
"Atlántico","Otros","7 DE AGOSTO",4.6567436,-74.0726567
"La Guajira","Riohacha","7 DE AGOSTO",11.5358741,-72.90178215
"Magdalena","Santa Marta","7 DE AGOSTO",11.23613005,-74.2031978
"Atlántico","Barranquilla","7 DEABRIL",10.9281039,-74.8170822
"Atlántico","Barranquilla","7ABRIL",10.9163194,-74.7989671
"Atlántico","Barranquilla","7DE ABRIL",10.92830565,-74.81434335
"Magdalena","Santa Marta","8 OCTUBRE",11.2297744,-74.1433495
"Atlántico","Barranquilla","ABAJO",10.9895996,-74.7849072
"La Guajira","Riohacha","ABAJO",4.6473263,-74.0957874
"Atlántico","Barranquilla","ABRIL",10.92647635,-74.81477685
"Santander","Bucaramanga","ACACIAS",7.1194271,-73.1238564
"Cundinamarca","Bogotá D.C.","ACAPULCO",4.68540235,-74.09493325
"Santander","Bucaramanga","ACAPULCO",7.0136351,-73.1341174
"Antioquia","Medellín","ACEVEDO",6.3004692,-75.558597
"Magdalena","Santa Marta","AEROMAR",11.1229024,-74.2254312
"Norte de Santander","Cúcuta","AEROPUERTO",7.9244207,-72.5083492
"La Guajira","Riohacha","AEROPUERTO",11.5285989,-72.9191716
"Santander","Bucaramanga","AFRICA",7.1134316,-73.1083831
"Santander","Bucaramanga","ÁFRICA",7.1134316,-73.1083831
"La Guajira","Maicao","AFRICA",4.6473263,-74.0957874
"La Guajira","Maicao","ÁFRICA",11.3800543,-72.2422465
"Antioquia","Medellín","AGIZAL",6.1928465,-75.60435425
"Antioquia","Medellín","AGONIA",6.2720603,-75.5637276
