"","dataset[which(dataset$service_type == ""Healthcare""), ""feedback""]"
"1","Deseo que el personal médico fuera capacitado en escuchar y atender a lo que
sentimos porque me siento mal y al salir no tuve una respuesta
"
"2","Pienso que las personas que nos reciben al llegar deben ser más amables con los
pacientes, no me sentí a gusto con el trato recibido.
"
"3","Sugiero colocar una camilla adicional para los pacientes que estamos en
recuperación, esperé sentada a que me estabilizaran la tensión.
"
"4","Estar más atentos con respecto a las llamadas para entrega de resultados, pues
me realizaron exámenes el 14 de julio y no me habían llamado.
"
"5","Deseo que el médico tome nota y tenga muy presente todas mis anotaciones médicas
para que no las pase por alto en el diagnóstico
"
"6","Pienso que deberían tener un biombo para separar la farmacia del laboratorio
para tener más privacidad.
"
"7","Mi idea es que la atención sea más rápida y den cumplimiento estricto a la hora
de la cita la tenía a la 11.  pasó 1 hora y no me atendieron
"
"8","Si llegamos tarde escuchar el por qué e intentar atendernos, tengo 3
enfermedades inmunológicas y no tengo recursos
"
"9","Capacitar al personal médico en atención al usuario y así realizar un chequeo
exhaustivo tengo una dermatitis y no miro esta afección
"
"10","Deseo que los médicos se capaciten en atención al usuario y empatía para que en
la consulta nos sintamos bien e importantes para regresar
"
"11","Sugiero que el servicio de laboratorio sea más agil, considero que hay
suficiente personal, sólo falta que sean más rápidos en sus labores.
"
"12","Tardé 3 horas para poder ser atendida y estoy en ayuno, considero que es urgente
incluir personal en laboratorio para evitar estos retrasos.
"
"13","En un formato ir llenando los datos básicos para que se agilice el ingreso y el
doctor logré atendernos más pronto
"
"14","Estoy desde las 7 am para unos exámenes, no los hicieron y me hacen venir de
nuevo, brindar auxilio de transporte y agilizar el tiempo
"
"15","Para mejorar los tiempos de espera sería bueno que ya se tuvieran impresos los
exámenes al llegar a la lectura y así agilizar el proceso
"
"16","Respetar la hora de la cita y el orden de llegada de los pacientes, ya que
atendieron personas que llegaron después de mi.
"
"17","Facilitar la entrega de resultados al correo o por un link de CRC sería más
efectivo, y podría tener un tratamiento.
"
"18","El servicio de medicina general es bueno,me gustaría que implementarán más
servicios como, ortopedia, odontología que son importantes.
"
"19","Es muy díficil acceder a una cita en CRC deberían tener un punto de atención
físico para sacar la cita en un horario flexible.
"
"20","Llevo tiempo tratando de lograr una cita por teléfono es complicado, deberían
tener una oficina en CRC que nos dieran la cita personalmente.
"
"21","Me gustaría que hubieran más líneas telefónicas para agendamiento de citas,
podría contar con una atención más rápida.
"
"22","Los servicios de CRC son buenos,solo pondría más líneas telefónicas esto
disminuiría el tiempo de realizar la llamada y obtendría una cita.
"
"23","Quiero que la cruz roja nos apoye con asesoría de emprendimiento para poder
crear una microempresa familiar y generar nuestros propio dinero
"
"24","Deseo que capacitenten al personal de CRC, para que conozcan bien los servicios
que ofrecen y de esta forma nos informen y nos orienten bien
"
"25","Me gustaría que en las caracterizaciones nos tengan en cuenta a los
profesionales para orientarnos y poder direccionar una hoja de vida.
"
"26","Que se implementen más servicios de especialistas como odontología, ginecología,
optometría para que el servicio sea más completo.
"
"27","Sería bueno que para las próximas brigadas puedan tener los servicios como
odontología, ginecología ya que son muy necesarios en este lugar.
"
"28","Creo que las brigadas de salud deberían ser constantes ya que muchos de pensemos
de medicina para mejorar nuestro estado de salud.
"
"29","Que organizarán otra brigada de salud, ya que nos sirve para tener atención
médica y recibir información.
"
"30","La atención en salud en la cruz roja es muy importante porque con el podemos
tener medicamentos y laboratorios para terminar tramiento.
"
